budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count
0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",408355.0,tt5425264,zh,Dragon Nest Movie 2: Throne of Elves,38.014,2016-07-31,3916195.0,90.0,Throne of Elves,7.5,100.0
103000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",407451.0,tt1620680,en,A Wrinkle in Time,30.87,2018-03-08,132675864.0,109.0,A Wrinkle in Time,5.1,1369.0
17000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",11351.0,tt0301470,en,Jeepers Creepers 2,34.352,2003-08-08,63102666.0,104.0,Jeepers Creepers 2,5.9,931.0
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",407439.0,tt5360996,en,Mary Magdalene,29.368000000000002,2018-03-15,10940439.0,120.0,Mary Magdalene,6.3,347.0
120000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",9487.0,tt0120623,en,A Bug's Life,39.398,1998-11-25,363258859.0,95.0,A Bug's Life,6.9,6485.0
50000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",588.0,tt0384537,en,Silent Hill,31.845,2006-04-21,97607453.0,125.0,Silent Hill,6.5,2844.0
28000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",277216.0,tt1398426,en,Straight Outta Compton,37.275999999999996,2015-08-13,201634991.0,147.0,Straight Outta Compton,7.8,2654.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10770, 'name': 'TV Movie'}]",724475.0,tt13186528,en,Ben 10 Versus the Universe: The Movie,42.535,2020-10-02,0.0,72.0,Ben 10 Versus the Universe: The Movie,7.5,49.0
5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",91586.0,tt2226417,en,Insidious: Chapter 2,30.846999999999998,2013-09-12,0.0,106.0,Insidious: Chapter 2,6.6,2872.0
0.0,"[{'id': 53, 'name': 'Thriller'}]",611468.0,tt8613876,de,Kidnapping Stella,33.126999999999995,2019-06-29,0.0,89.0,Kidnapping Stella,5.2,279.0
3500000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",183011.0,tt2820466,en,Justice League: The Flashpoint Paradox,33.391,2013-07-30,0.0,75.0,Justice League: The Flashpoint Paradox,7.8,1078.0
50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",107846.0,tt1211956,en,Escape Plan,35.99,2013-10-09,122915111.0,115.0,Escape Plan,6.7,3618.0
14000000.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",205596.0,tt2084970,en,The Imitation Game,40.445,2014-11-14,233555708.0,113.0,The Imitation Game,8.0,12758.0
150000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",49444.0,tt1302011,en,Kung Fu Panda 2,32.931,2011-05-25,631910531.0,91.0,Kung Fu Panda 2,6.8,4633.0
0.0,"[{'id': 18, 'name': 'Drama'}]",591629.0,tt7562334,en,Lady Driver,52.038999999999994,2020-12-03,0.0,104.0,Lady Driver,0.0,0.0
33000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",807.0,tt0114369,en,Se7en,37.925,1995-09-22,327311859.0,127.0,Se7en,8.3,14017.0
0.0,"[{'id': 10770, 'name': 'TV Movie'}]",746041.0,tt13341432,en,A Nashville Christmas Carol,38.022,2020-11-21,0.0,0.0,A Nashville Christmas Carol,0.0,0.0
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",453071.0,tt5866090,ja,ナルトが火影になった日,36.683,2016-07-06,0.0,11.0,The Day Naruto Became Hokage,7.6,95.0
0.0,"[{'id': 27, 'name': 'Horror'}]",11449.0,tt0078767,en,The Amityville Horror,34.019,1979-07-26,86432000.0,117.0,The Amityville Horror,6.4,490.0
10000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",8922.0,tt0263488,en,Jeepers Creepers,43.568999999999996,2001-07-01,59217789.0,90.0,Jeepers Creepers,6.3,1814.0
50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",300671.0,tt4172430,en,13 Hours: The Secret Soldiers of Benghazi,37.111999999999995,2016-01-13,69411370.0,144.0,13 Hours: The Secret Soldiers of Benghazi,7.2,2175.0
0.0,"[{'id': 99, 'name': 'Documentary'}]",483898.0,tt2006673,en,50 Greatest Harry Potter Moments,35.607,2011-07-27,0.0,93.0,50 Greatest Harry Potter Moments,7.5,18.0
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",400090.0,tt4068576,en,The Nightingale,36.084,2018-09-23,855756.0,136.0,The Nightingale,7.3,241.0
140000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",95.0,tt0120591,en,Armageddon,35.861,1998-07-01,553799566.0,151.0,Armageddon,6.8,5524.0
0.0,"[{'id': 18, 'name': 'Drama'}]",552365.0,tt10374236,es,Lina de Lima,34.149,2020-07-02,0.0,83.0,Lina from Lima,6.2,15.0
8500000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",242582.0,tt2872718,en,Nightcrawler,47.059,2014-10-23,50300000.0,118.0,Nightcrawler,7.7,7438.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",569094.0,tt9362722,en,Spider-Man: Into the Spider-Verse Sequel,31.583000000000002,2022-10-06,0.0,0.0,Spider-Man: Into the Spider-Verse Sequel,0.0,0.0
100000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",2668.0,tt0162661,en,Sleepy Hollow,34.005,1999-11-18,206071502.0,105.0,Sleepy Hollow,7.1,4572.0
20000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",8456.0,tt1023111,en,Never Back Down,44.006,2008-03-04,41627431.0,115.0,Never Back Down,6.7,1589.0
30000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",620.0,tt0087332,en,Ghostbusters,37.005,1984-06-08,296425473.0,107.0,Ghostbusters,7.4,5971.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",242546.0,tt3306776,ja,ベヨネッタ ブラッディフェイト,29.476,2013-11-23,0.0,90.0,Bayonetta: Bloody Fate,5.6,39.0
